,Temp_Hi,Temp_Low,Cloud,Solar,windspeed,Direction,Rainfall,Day,Month,Power_Solar,Power_Wind
0,27.42,25.65,80,14.38,6.98,232,4.22,12,9,26.48,30.34
1,26.01,24.24,100,14.58,4.88,251,61.15,13,9,33.1,35.36
2,25.98,24.9,100,14.48,4.95,223,19.84,14,9,33.1,23.88
0,25.87,22.0,79,13.89,7.68,226,3.74,15,9,26.15,28.81
1,26.53,25.12,100,14.36,8.14,229,10.46,16,9,33.1,30.67
2,27.03,25.29,30,13.85,7.59,223,3.68,17,9,9.94,27.44
3,26.78,25.27,98,12.96,4.0,248,0.37,18,9,32.43,32.94
4,26.83,24.86,97,13.52,6.95,228,0.25,19,9,32.1,28.65
5,26.59,25.32,99,13.63,7.71,225,1.69,20,9,32.76,28.43
6,27.73,25.35,48,14.24,6.47,235,1.69,21,9,15.9,30.89
7,27.39,25.65,53,14.53,7.13,224,7.17,22,9,17.55,27.24
